,artist_id,name,track_id,track_name,track_artist,popularity,uri
90,7FNnA9vBm6EKceENgCGRMb,ANITTA,0c82YIGpQ5dCaXpTNCk4sb,Alegría,Tiago PZK,72,spotify:track:0c82YIGpQ5dCaXpTNCk4sb
91,7FNnA9vBm6EKceENgCGRMb,ANITTA,5Fohh8kl8403DSoq4KH7Ll,BELLAKEO,Peso Pluma,65,spotify:track:5Fohh8kl8403DSoq4KH7Ll
92,7FNnA9vBm6EKceENgCGRMb,ANITTA,0PNwMRlZgwoWVe0idfGQPH,Capa De Revista,Anitta,64,spotify:track:0PNwMRlZgwoWVe0idfGQPH
93,7FNnA9vBm6EKceENgCGRMb,ANITTA,3Ga6eKrUFf12ouh9Yw3v2D,Downtown,Anitta,75,spotify:track:3Ga6eKrUFf12ouh9Yw3v2D
94,7FNnA9vBm6EKceENgCGRMb,ANITTA,3FkeNbs9Zeiqkr3WkbOiGp,Envolver,Anitta,61,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp
95,7FNnA9vBm6EKceENgCGRMb,ANITTA,6vH8KKSB66dcnCw00N5K0R,Funk Rave,Anitta,65,spotify:track:6vH8KKSB66dcnCw00N5K0R
96,7FNnA9vBm6EKceENgCGRMb,ANITTA,0JGTfiC4Z41GEEpMYLbWwO,Gata Only (Remix),FloyyMenor,70,spotify:track:0JGTfiC4Z41GEEpMYLbWwO
97,7FNnA9vBm6EKceENgCGRMb,ANITTA,5KloY4dqqARqRPavfyRmRE,ROMEO,Anitta,71,spotify:track:5KloY4dqqARqRPavfyRmRE
98,7FNnA9vBm6EKceENgCGRMb,ANITTA,77HhVmRv7IxDqkyMxElSrK,Sei Que Tu Me Odeia,Anitta,78,spotify:track:77HhVmRv7IxDqkyMxElSrK
99,7FNnA9vBm6EKceENgCGRMb,ANITTA,7DY756WOLyOz2Xnhw4EFiC,São Paulo (feat. Anitta),The Weeknd,82,spotify:track:7DY756WOLyOz2Xnhw4EFiC
100,4SQdUpG4f7UbkJG3cJ2Iyj,ARCA,5Ay8JjpPx5LUauY9G0FMuV,Aquamarine / Arcamarine,Addison Rae,55,spotify:track:5Ay8JjpPx5LUauY9G0FMuV
101,4SQdUpG4f7UbkJG3cJ2Iyj,ARCA,57T2OCgiu5OEP2RUHRBZuY,Chama,Arca,48,spotify:track:57T2OCgiu5OEP2RUHRBZuY
102,4SQdUpG4f7UbkJG3cJ2Iyj,ARCA,1r4MvTc1gwfHdt2TuMMYx0,Cicada (feat. Arca),Sega Bodega,42,spotify:track:1r4MvTc1gwfHdt2TuMMYx0
103,4SQdUpG4f7UbkJG3cJ2Iyj,ARCA,5pGz6FrmpHjOuso83azbik,El Alma Que Te Trajo,Safety Trance,52,spotify:track:5pGz6FrmpHjOuso83azbik
104,4SQdUpG4f7UbkJG3cJ2Iyj,ARCA,2ZFu40Ik8VsUE9H87W0MmZ,KLK,Arca,49,spotify:track:2ZFu40Ik8VsUE9H87W0MmZ
105,4SQdUpG4f7UbkJG3cJ2Iyj,ARCA,4I4p4iwxzFzdiz1WOZdZk7,Luna Llena,Arca,43,spotify:track:4I4p4iwxzFzdiz1WOZdZk7
